Berlaar bij Lier,Berlaar bij Lier,
Berlicum,Berlicum,Q2897233
Berlijn,Berlijn,Q4528108
Berlikum,Berlikum,Q1107931
Bermington Engeland,Bermington Engeland,
Berrewoudwaarden,Berrewoudwaarden,
Berrewoudwaarder,Berrewoudwaarder,
Beschoten,Beschoten,
Besoeki (N.O.I.),Besoeki (N.O.I.),
Besoeko (N.O.I.),Besoeko (N.O.I.),
Besoijen,Besoijen,Q2630144
Besooijen,Besooijen,
Bessoijen,Bessoijen,
Best,Best,Q246064
Betekom,Betekom,Q432610
Betgum,Betgum,
Beugen,Beugen,
Beugen en Rijkvoort,Beugen en Rijkvoort,
Beuningen,Beuningen,Q851244
Beusichem,Beusichem,Q1879468
Beuzichem,Beuzichem,
Beveren Wals,Beveren Wals,
Beverwijk,Beverwijk,Q9905
Bezoijen,Bezoijen,
Bezooijen,Bezooijen,
Bielefeld,Bielefeld,Q2112
Bierum,Bierum,Q2649983
Biervliet,Biervliet,Q2412352
Bilt,Bilt,
Bilt (FR),Bilt (FR),
Binschop,Binschop,
Binschoten,Binschoten,
Birmingham,Birmingham,Q2256
Birmingham (E),Birmingham (E),
Bishoshem (België),Bishoshem (België),
Blaricum,Blaricum,Q9906
Bleiswijk,Bleiswijk,Q883690
Blesdijke,Blesdijke,Q2500645
Bloemendaal,Bloemendaal,Q9908
Blokzijl,Blokzijl,Q59605
Blozijl,Blozijl,
Bocholt,Bocholt,Q1159144
Bocholt (B),Bocholt (B),
Bocholt Dld.,Bocholt Dld.,
"Bocholt, Duitsland","Bocholt, Duitsland",
Bocholtz,Bocholtz,Q2217726
Bocholz,Bocholz,
Bocholz (D),Bocholz (D),
Bochum,Bochum,Q2103
Bochum in Guitschland,Bochum in Guitschland,
Bockoltz,Bockoltz,
Bockum in Duitschland,Bockum in Duitschland,
Bodegraven,Bodegraven,Q832938
Bodegrven,Bodegrven,
Boekel,Boekel,Q9818
Böhsen,Böhsen,
Bolsward,Bolsward,Q3291153
Bolzwart,Bolzwart,
Bommel,Bommel,
Bonn,Bonn,Q586
Boodewalt gem. Bedum,Boodewalt gem. Bedum,
Boom (België),Boom (België),
Boornbergum,Boornbergum,Q2209207
Borbeck,Borbeck,
Borbeck (D),Borbeck (D),
Borculo,Borculo,Q1025685
Borcum,Borcum,
Borger,Borger,Q448794
Borger-Compascuum,Borger-Compascuum,
Borgerat,Borgerat,
Borgerhout,Borgerhout,Q834850
Borgerveld  gem. Vlagtwedde,Borgerveld  gem. Vlagtwedde,
Borgerwold gem Vlagtwedde,Borgerwold gem Vlagtwedde,
Borghorst (Duitschland),Borghorst (Duitschland),
Borkulo,Borkulo,
Borkuloo,Borkuloo,
Born,Born,Q893907
Borsele,Borsele,Q10071
Borssele,Borssele,Q2911365
Borsselen,Borsselen,Q104849017
Bos Kappelle (Z),Bos Kappelle (Z),
Boscholtz,Boscholtz,
Bosem,Bosem,
Boskoop,Boskoop,Q894442
Bottrop,Bottrop,Q3069
Bottrop (Duitschl),Bottrop (Duitsland),
Bottrop (Duitschland),Bottrop (Duitsland),
Bottrop D.,Bottrop (Duitsland),
"Bottrop, Duitschland",Bottrop (Duitsland),
Bovenkarspel,Bovenkarspel,Q674395
Boxmeer,Boxmeer,Q9819
Boxtel,Boxtel,Q9821
Boxtel ???,Boxtel ???,
Boxum,Boxum,
Bozum gem Baarderadeel,Bozum gem Baarderadeel,
Brada,Brada,Q4954388
Brakel,Brakel,Q845980
Brandenburg (Duitschland),Brandenburg (Duitschland),
Brandgem,Brandgem,
Brandgem (Fr.),Brandgem (Fr.),
Brandgem (Fr),Brandgem (Fr),
Brandgum,Brandgum,
Brantgem,Brantgem,
Brantgum,Brantgum,Q898897
Brantgum gem. Westdongeradeel,Brantgum gem. Westdongeradeel,
Brasmenil,Brasmenil,
Brasschaet,Brasschaet,
Brasschaet (België),Brasschaet (België),
Brecht,Brecht,Q38757
Brecht (België),Brecht (België),
Breda,Breda,Q40844
Breda (Utrecht),Breda (Utrecht),
Bremen,Bremen,Q24879
Breskens,Breskens,Q641390
Breukelen,Breukelen,Q615732
Breukelen - Nijenrode,Breukelen - Nijenrode,
Breukelen en Nijenrode,Breukelen en Nijenrode,
Breukelen Nijenrode,Breukelen Nijenrode,Q2318860
Breukelen Nijenroode,Breukelen Nijenroode,
Breukelen Nijerode,Breukelen Nijerode,
Breukelen st Pieter,Breukelen st Pieter,
Breukelen St. Pieter,Breukelen St. Pieter,
Breukelen st. Pieter,Breukelen st. Pieter,
Breukelen-Nijenrode,Breukelen-Nijenrode,Q2318860
"Breukelen, Nijenrode","Breukelen, Nijenrode",
Breukelenveen,Breukelenveen,
Breulelen Nijenrode,Breulelen Nijenrode,
Brielle,Brielle,Q462663
Briellle,Briellle,
Broek Gron,Broek Gron,
Broek in Waterland,Broek in Waterland,Q2925962
Broek onder Akerwoude gem. Dantumadeel,Broek onder Akerwoude gem. Dantumadeel,
Broek op Langendijk,Broek op Langendijk,Q2464635
Broek-Sittard,Broek-Sittard,
Broekhave,Broekhave,
Broekhuizen,Broekhuizen,Q1217811
Broeksittard,Broeksittard,Q2925966
Brohl,Brohl,Q564683
Brouwershaven,Brouwershaven,Q991009
Brudzin,Brudzin,
Bruegel (B),Bruegel (B),
Bruekelen Nijenrode,Bruekelen Nijenrode,
Bruekelen-Nijenrode,Bruekelen-Nijenrode,
Brugge,Brugge,Q12994
Brummen,Brummen,Q843895
Brunssum,Brunssum,Q9803
Brunswijk,Brunswijk,
Brussel,Brussel,Q240
Brussel (B),Brussel (B),
Budel,Budel,Q1001369
Budel N.B.,Budel N.B.,
Büdersheim,Büdersheim,
Bugenook,Bugenook,
Buiksloot,Buiksloot,Q1002976
Bunchoten,Bunchoten,
Bunde,Bunde,Q416010
Bunnik,Bunnik,Q10032
Bunnink,Bunnink,
Bunschoten,Bunschoten,Q10034
Bunschoten ,Bunschoten ,Q10034
Bunschoten gem. Spakenburg,Bunschoten gem. Spakenburg,
Buren,Buren,Q73061
Buren-Malsem,Buren-Malsem,
Burgh,Burgh,Q254978
Burgh.,Burgh.,
Burght,Burght,Q6933376
Burgt bij Antwerpen,Burgt bij Antwerpen,
Burmelo,Burmelo,
Burmingham,Burmingham,Q865761
Burum,Burum,Q1017157
Bussum,Bussum,Q9909
Busum,Busum,Q20768
Buurmalsen,Buurmalsen,Q1908172
Buurmalsum,Buurmalsum,
Buursmalen,Buursmalen,
Cadier en Keer,Cadier en Keer,Q100000
Cadzand,Cadzand,Q1025352
Calcken,Calcken,
Campenout,Campenout,
Capelle,Capelle,Q2459889
Capelle a/d IJsel,Capelle a/d IJsel,
Capelle a/d IJssel,Capelle a/d IJssel,Q734860
Capelle aan de IJssel,Capelle a/d IJssel,Q734860
Capelle op'd IJssel,Capelle a/d IJssel,Q734860
Cappel,Cappel,Q417133
Cappele a/d IJssel,Capelle a/d IJssel,Q734860
Cappelle a/d IJssel,Capelle a/d IJssel,Q734860
Carspel,Carspel,
Cassel,Cassel,Q354577
Casteren gem. Hoogeloon,Casteren gem. Hoogeloon,
Casterop,Casterop,
Castricum,Castricum,Q9910
Castrop,Castrop,Q151243
Cele Akant,Cele Akant,
Cerfontaine,Cerfontaine,Q354499
Céverle (Belgie),Céverle (Belgie),
Chapelles les Horlaimont,Chapelles les Horlaimont,
Charlois,Charlois,Q2289835
Charlois gem R'dam,Charlois gem R'dam,
Charlois gem. Rotterdam,Charlois gem. Rotterdam,
Chénée,Chénée,
Chercq,Chercq,
Cherscamp,Cherscamp,
Cinuij,Cinuij,
Cleve (D),Cleve (D),
Cleve. Duitschl.,Cleve. Duitschl.,
Clinge,Clinge,Q1915621
Co@le@,Co@le@,
Coevorden,Coevorden,Q60453
Colijnsplaat,Colijnsplaat,Q538319
Contich,Contich,
Cornelimunster,Cornelimunster,Q152432
Cortemarck,Cortemarck,Q822763
Cothen,Cothen,Q2860067
Cotlan,Cotlan,
Cranenburg,Cranenburg,Q16952497
Crefeld,Crefeld,Q2805
Crefeld (Duitschl.),Crefeld (Duitschl.),
Crefeld Duitschl.,Crefeld Duitschl.,
Cromvoirt,Cromvoirt,Q2981622
Crujshautem,Crujshautem,
Cruybeke (België),Cruybeke (België),
Cuijk,Cuijk,Q9827
Cuijk en st Agatha,Cuijk en st Agatha,
Cuijk en St Agathe,Cuijk en St Agathe,
Cuijk en St. Agatha,Cuijk en St. Agatha,
Cuijk en St. Agatta,Cuijk en St. Agatta,
Cuilemburg,Cuilemburg,
Cuilenburg,Cuilenburg,
Culemborg,Culemborg,Q816699
Culemburg,Culemburg,
Culenborg,Culenborg,
Culenburg,Culenburg,
Daal.,Daal.,
Dalen,Dalen,Q1974246
Dalfsen,Dalfsen,Q9998
Danne Liessel,Danne Liessel,
Dantumadeel,Dantumadeel,Q389213
Dantzig,Dantzig,Q21491246
Darmstadt,Darmstadt,Q2973
Darthuizen gem Leersum,Darthuizen gem Leersum,
de Bildt,de Bildt,
de Bilt,de Bilt,Q10035
De Bilt,De Bilt,Q10035
de Ham,de Ham,Q402786
de Hoven,de Hoven,
De Hoven bij Zutphen,De Hoven bij Zutphen,
de Kromme Mijdrecht,de Kromme Mijdrecht,
de Leek,de Leek,
de Lemmer,de Lemmer,Q144091
de Rijp,de Rijp,Q2208222
De Werken en Sleeuwijk,De Werken en Sleeuwijk,Q781820
de Wijk,de Wijk,Q2187499
De Wijk,De Wijk,Q2187499
Dedemsvaart,Dedemsvaart,Q2485874
Dedemsvaart (Avereest),Dedemsvaart (Avereest),
Dedemsvaart AVereest,Dedemsvaart AVereest,
Dedemsvaart Avereest,Dedemsvaart Avereest,
Dedgum,Dedgum,Q2499859
Deemsvaart Avereest,Deemsvaart Avereest,
Deersum gem. Rauwerderkem,Deersum gem. Rauwerderkem,
Deijl,Deijl,
Deil,Deil,Q73147
Deinse,Deinse,
Deinum  gem. @enuldermadeel,Deinum  gem. @enuldermadeel,
Deinze,Deinze,Q499313
Delf,Delf,Q1184105
Delfshaven,Delfshaven,Q1184149
Delfshaven Rottm,Delfshaven Rottm,
Delfszijl,Delfszijl,
Delft,Delft,Q690
Delftshaven,Delftshaven,Q1184149
Delftshaven rotterdam,Delftshaven rotterdam,
Delftzijl,Delftzijl,
Delfzijl,Delfzijl,Q322986
den Andel gem. Baflo,den Andel gem. Baflo,
den Bommel,den Bommel,Q2509021
den Borcht,den Borcht,
 Bosch,Den Bosch,Q2766547
's - Bosch,Den Bosch,Q2766547
's Bosch,Den Bosch,Q2766547
's Hertogenbosch,Den Bosch,Q2766547
's hertogenbosch,Den Bosch,Q2766547
den Bosch,den Bosch,Q2766547
Den Bosch,Den Bosch,Q2766547
's  Hage,Den Haag,Q36600
's GRavenhag,Den Haag,Q36600
's Gravenhage,Den Haag,Q36600
'S Gravenhage,Den Haag,Q36600
's gravenhage,Den Haag,Q36600
's Gravenhage ,Den Haag,Q36600
's Hage,Den Haag,Q36600
's-Gravenhage,Den Haag,Q36600
'sGravenhage,Den Haag,Q36600
"""s Gravenhage",Den Haag,Q36600
den Haag,den Haag,Q36600
Den Haag,Den Haag,Q36600
Den Haag ,Den Haag ,Q36600
den Ham,den Ham,Q2594212
Den Helder,Den Helder,Q9911
den Helder,den Helder,Q9911
Den Hout gem. Oosterhout,Den Hout gem. Oosterhout,
Denekamp,Denekamp,Q3022448
Deurne,Deurne,Q681061
Deurne en liessel,Deurne en liessel,Q2774034
Deursen en Dennenburg,Deursen en Dennenburg,Q1968961
Deventer,Deventer,Q10001
Deventer ,Deventer ,Q10001
Didam,Didam,Q1210428
Diemen,Diemen,Q9913
Diemerbrug,Diemerbrug,
Diepenheim,Diepenheim,Q2243026
Diepenveen,Diepenveen,Q2905573
Dieren,Dieren,Q73101
Dieren (gem. Rheden),Dieren (gem. Rheden),
Dieren (Rheden),Dieren (Rheden),
Dieren Gem. Rheden,Dieren Gem. Rheden,
Dieren gem. Rheden,Dieren gem. Rheden,
Diest,Diest,Q743236
Diever,Diever,Q2497377
Dinteloord,Dinteloord,Q2281208
Dinten N.B.,Dinten N.B.,
Dinther,Dinther,Q2445686
Dinxperlo,Dinxperlo,Q1226753
Dinxperlo (G),Dinxperlo (G),
Dinxperloo,Dinxperloo,
Dirksland,Dirksland,Q917827
Djember,Djember,
Dockum,Dockum,
Dodenwaard,Dodenwaard,
Dodewaard,Dodewaard,Q1614071
Doesburg,Doesburg,Q165736
Doetichem,Doetichem,
Doetinchem,Doetinchem,Q145845
Dokkum,Dokkum,Q41976
Dolhain (Belgie),Dolhain (Belgie),
Dolhain (België),Dolhain (België),
Domburg,Domburg,Q980728
Dongen,Dongen,Q9829
Doniawerstal,Doniawerstal,Q2091902
Doodewaard,Doodewaard,
Doorn,Doorn,Q1615161
Doorn Spijk,Doorn Spijk,
Doornik,Doornik,Q173219
Doornspijk,Doornspijk,Q959806
Dordmund,Dordmund,
Dordrecht,Dordrecht,Q26421
Dordrecht ,Dordrecht ,Q26421
Dordrecht.,Dordrecht.,
Dordrecjt,Dordrecjt,
Dordt,Dordt,Q15946409
Dort,Dort,Q1250544
Dortmund,Dortmund,Q1295
Dortmund (D),Dortmund (D),
Dortmund (D).,Dortmund (D).,
Dortmund (Duitsland),Dortmund (Duitsland),
Dortmunt,Dortmunt,
dOTDRECHT,dOTDRECHT,
Drachten,Drachten,Q60444
Drachtster Compagnie,Drachtster Compagnie,
Dragten,Dragten,Q60444
Dragten gem. Smallingerland,Dragten gem. Smallingerland,
Dreumel,Dreumel,Q2784834
Dreumel ,Dreumel ,Q2784834
Drie Wegen,Drie Wegen,
Drie-Wegen,Drie-Wegen,
Drieberg,Drieberg,
Driebergen,Driebergen,Q1899314
driebergen,driebergen,Q1899314
DRiebergen,DRiebergen,Q1899314
Driel,Driel,Q1614971
Driewegen,Driewegen,Q395656
Drogeham,Drogeham,Q2497585
Drongrijp,Drongrijp,
Dronrijp,Dronrijp,Q578267
Drumpt-wadenoijen,Drumpt-wadenoijen,
Drunen,Drunen,Q2873137
Druten,Druten,Q932142
Dubbeldam,Dubbeldam,Q1262957
Duibbeldam,Duibbeldam,
Duisburg,Duisburg,Q2100
